,Determina,Modello,Temperature,Checklist,Municipality,determina_in,accuracy,precision,recall,f1_score,balanced_accuracy,confusion_matrix
129,det_00062_17-01-2025,llama-3.1-70B,0.4,Determine,Lucca,system,0.6363636363636364,0.509090909090909,0.6363636363636364,0.5656565656565656,0.2916666666666667,"[[0, 1, 0], [0, 7, 0], [0, 2, 0]]"
130,det_00427_28-02-2025,llama-3.1-70B,0.4,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
131,det_00041_15-01-2025,llama-3.1-70B,0.5,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
132,det_00062_17-01-2025,llama-3.1-70B,0.5,Determine,Lucca,system,0.8181818181818182,0.7636363636363637,0.8181818181818182,0.7676767676767677,0.5,"[[0, 1, 0], [0, 8, 0], [0, 1, 1]]"
133,det_00427_28-02-2025,llama-3.1-70B,0.5,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
134,det_00041_15-01-2025,llama-3.1-70B,0.6,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
135,det_00062_17-01-2025,llama-3.1-70B,0.6,Determine,Lucca,system,0.8181818181818182,0.8282828282828283,0.8181818181818182,0.805704099821747,0.5,"[[0, 1, 0], [0, 8, 0], [0, 0, 1]]"
136,det_00427_28-02-2025,llama-3.1-70B,0.6,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
137,det_00041_15-01-2025,llama-3.1-70B,0.8,Contratti,Lucca,system,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,"[[0, 3, 0], [0, 3, 0], [0, 3, 0]]"
138,det_00062_17-01-2025,llama-3.1-70B,0.8,Determine,Lucca,system,0.6363636363636364,0.509090909090909,0.6363636363636364,0.5656565656565656,0.2916666666666667,"[[0, 1, 0], [1, 7, 0], [0, 2, 0]]"
139,det_00427_28-02-2025,llama-3.1-70B,0.8,Determine,Lucca,system,0.5454545454545454,0.4848484848484848,0.5454545454545454,0.5133689839572193,0.25,"[[0, 1, 0], [0, 6, 0], [0, 2, 0]]"
140,det_00041_15-01-2025,llama-3.1-70B,1.0,Contratti,Lucca,system,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.14814814814814814,0.2222222222222222,"[[0, 1, 1], [1, 2, 0], [0, 3, 0]]"
